"Country or Area","Year","Item","Value"
"Guyana","2019","Gross National Income (GNI)","6626.1755964312"
"Haiti","2019","Gross National Income (GNI)","710.372827050437"
"Honduras","2019","Gross National Income (GNI)","2378.44365074219"
"Hungary","2019","Gross National Income (GNI)","16423.7228863801"
"Iceland","2019","Gross National Income (GNI)","72716.0124814895"
"India","2019","Gross National Income (GNI)","2092.32343195869"
"Indonesia","2019","Gross National Income (GNI)","4011.84881364214"
"Iran, Islamic Republic of","2019","Gross National Income (GNI)","7302.31986094218"
"Iraq","2019","Gross National Income (GNI)","5679.24153191964"
"Ireland","2019","Gross National Income (GNI)","63158.9217268565"
"Israel","2019","Gross National Income (GNI)","46301.4522327233"
"Italy","2019","Gross National Income (GNI)","33373.4443288727"
"Jamaica","2019","Gross National Income (GNI)","5202.85247746508"
"Japan","2019","Gross National Income (GNI)","41512.6791775593"
"Jordan","2019","Gross National Income (GNI)","4299.28896195704"
"Kazakhstan","2019","Gross National Income (GNI)","8500.18040077871"
"Kenya","2019","Gross National Income (GNI)","1779.9082263493"
"Kingdom of Eswatini","2019","Gross National Income (GNI)","2998.89962519127"
"Kiribati","2019","Gross National Income (GNI)","3248.79536771922"
"Kosovo","2019","Gross National Income (GNI)","4548.8233478079"
"Kuwait","2019","Gross National Income (GNI)","36429.0330263972"
"Kyrgyzstan","2019","Gross National Income (GNI)","1225.80698754725"
"Lao People's Democratic Republic","2019","Gross National Income (GNI)","2563.55836455098"
"Latvia","2019","Gross National Income (GNI)","17632.731456471"
"Lebanon","2019","Gross National Income (GNI)","7752.22683215772"
"Lesotho","2019","Gross National Income (GNI)","1320.18231684789"
"Liberia","2019","Gross National Income (GNI)","462.885498647662"
"Libya","2019","Gross National Income (GNI)","4637.16533007069"
"Liechtenstein","2019","Gross National Income (GNI)","189585.828222113"
"Lithuania","2019","Gross National Income (GNI)","19110.6777418406"
"Luxembourg","2019","Gross National Income (GNI)","73564.7485580341"
"Madagascar","2019","Gross National Income (GNI)","507.950353196668"
"Malawi","2019","Gross National Income (GNI)","426.616973100725"
"Malaysia","2019","Gross National Income (GNI)","11110.049599904"
"Maldives","2019","Gross National Income (GNI)","9643.7025490215"
"Mali","2019","Gross National Income (GNI)","862.816758301396"
"Malta","2019","Gross National Income (GNI)","30892.7750256036"
"Marshall Islands","2019","Gross National Income (GNI)","4775.340647378"
"Mauritania","2019","Gross National Income (GNI)","1657.8220384702"
"Mauritius","2019","Gross National Income (GNI)","11390.934328142"
"Mexico","2019","Gross National Income (GNI)","9602.72959079188"
"Micronesia (Federated States of)","2019","Gross National Income (GNI)","4072.25999209243"
"Monaco","2019","Gross National Income (GNI)","190532.469952153"
"Mongolia","2019","Gross National Income (GNI)","3811.05665693012"
"Montenegro","2019","Gross National Income (GNI)","8946.16278125048"
"Montserrat","2019","Gross National Income (GNI)","13561.5078357572"
"Morocco","2019","Gross National Income (GNI)","3218.00792165758"
"Mozambique","2019","Gross National Income (GNI)","495.055973063325"
"Myanmar","2019","Gross National Income (GNI)","1368.56866291061"
"Namibia","2019","Gross National Income (GNI)","4888.83962520834"
"Nauru","2019","Gross National Income (GNI)","15391.177332343"
"Nepal","2019","Gross National Income (GNI)","1086.03356412695"
"Netherlands","2019","Gross National Income (GNI)","53260.3774634208"
"New Caledonia","2019","Gross National Income (GNI)","34941.5015410633"
"New Zealand","2019","Gross National Income (GNI)","42132.8537870889"
"Nicaragua","2019","Gross National Income (GNI)","1875.49215190386"
"Niger","2019","Gross National Income (GNI)","546.289400750162"
"Nigeria","2019","Gross National Income (GNI)","2172.88864235529"
"Norway","2019","Gross National Income (GNI)","78185.3638925139"
"Oman","2019","Gross National Income (GNI)","14108.4330279198"
"Pakistan","2019","Gross National Income (GNI)","1264.03606673308"
"Palau","2019","Gross National Income (GNI)","16171.8581741448"
"Panama","2019","Gross National Income (GNI)","14525.6407700664"
"Papua New Guinea","2019","Gross National Income (GNI)","2783.21144639831"
"Paraguay","2019","Gross National Income (GNI)","5239.69121438312"
"Peru","2019","Gross National Income (GNI)","6634.94767290546"
"Philippines","2019","Gross National Income (GNI)","3984.97621902931"
"Poland","2019","Gross National Income (GNI)","15017.490451952"
"Portugal","2019","Gross National Income (GNI)","22810.9036660917"
"Puerto Rico","2019","Gross National Income (GNI)","24129.1017137746"
"Qatar","2019","Gross National Income (GNI)","63224.7024546359"
"Republic of Korea","2019","Gross National Income (GNI)","32422.3873705932"
"Republic of Moldova","2019","Gross National Income (GNI)","3098.9560549696"
"Republic of North Macedonia","2019","Gross National Income (GNI)","5837.40122316584"
"Romania","2019","Gross National Income (GNI)","12732.6889842559"
"Russian Federation","2019","Gross National Income (GNI)","11280.8187914936"
"Rwanda","2019","Gross National Income (GNI)","793.057172119686"
"Saint Kitts and Nevis","2019","Gross National Income (GNI)","18789.6882741174"
"Saint Lucia","2019","Gross National Income (GNI)","10070.0791274342"
"Saint Vincent and the Grenadines","2019","Gross National Income (GNI)","7403.92918658108"
"Samoa","2019","Gross National Income (GNI)","4141.17419315405"
"San Marino","2019","Gross National Income (GNI)","40136.9511233698"
"Sao Tome and Principe","2019","Gross National Income (GNI)","1942.12946457954"
"Saudi Arabia","2019","Gross National Income (GNI)","23372.3901386135"
"Senegal","2019","Gross National Income (GNI)","1412.36519917513"
"Serbia","2019","Gross National Income (GNI)","6960.73223085885"
"Seychelles","2019","Gross National Income (GNI)","16562.5950252717"
"Sierra Leone","2019","Gross National Income (GNI)","520.955039106076"
"Singapore","2019","Gross National Income (GNI)","58186.7493832513"
"Sint Maarten (Dutch part)","2019","Gross National Income (GNI)","22971.9641191799"
"Slovakia","2019","Gross National Income (GNI)","18916.234949923"
"Slovenia","2019","Gross National Income (GNI)","25644.5365539619"
"Solomon Islands","2019","Gross National Income (GNI)","1850.65863548557"
"Somalia","2019","Gross National Income (GNI)","104.663515226761"
"South Africa","2019","Gross National Income (GNI)","5832.18110292212"
"South Sudan","2019","Gross National Income (GNI)","431.140459937715"
"Spain","2019","Gross National Income (GNI)","29860.2459791272"
"Sri Lanka","2019","Gross National Income (GNI)","3826.27767184433"
"State of Palestine","2019","Gross National Income (GNI)","3958.06818136194"
"Sudan","2019","Gross National Income (GNI)","850.091729921679"
"Suriname","2019","Gross National Income (GNI)","5643.16725174754"
"Sweden","2019","Gross National Income (GNI)","54225.5071216767"
"Switzerland","2019","Gross National Income (GNI)","85718.466801733"
"Syrian Arab Republic","2019","Gross National Income (GNI)","879.84712561167"
"Tajikistan","2019","Gross National Income (GNI)","1043.80574034436"
"Thailand","2019","Gross National Income (GNI)","7406.94630276664"
"Timor-Leste","2019","Gross National Income (GNI)","2088.71764856908"
"Togo","2019","Gross National Income (GNI)","902.89991874608"
"Tonga","2019","Gross National Income (GNI)","5257.83482844382"
"Trinidad and Tobago","2019","Gross National Income (GNI)","16446.3003024973"
"Tunisia","2019","Gross National Income (GNI)","3200.05617961411"
"Turkey","2019","Gross National Income (GNI)","8975.18481782778"
"Turkmenistan","2019","Gross National Income (GNI)","7782.27042904079"
"Turks and Caicos Islands","2019","Gross National Income (GNI)","34306.9560105784"
"Tuvalu","2019","Gross National Income (GNI)","6780.48098628007"
"Uganda","2019","Gross National Income (GNI)","716.982824037343"
"Ukraine","2019","Gross National Income (GNI)","3585.02043436586"
"United Arab Emirates","2019","Gross National Income (GNI)","43160.692431991"
"United Kingdom of Great Britain and Northern Ireland","2019","Gross National Income (GNI)","41149.2357839731"
"United Republic of Tanzania: Mainland","2019","Gross National Income (GNI)","1066.58717135726"
"United Republic of Tanzania: Zanzibar","2019","Gross National Income (GNI)","1092.62219291504"
"United States","2019","Gross National Income (GNI)","65897.3082831951"
"Uruguay","2019","Gross National Income (GNI)","15229.8365707855"
"Uzbekistan","2019","Gross National Income (GNI)","1792.26949566631"
"Vanuatu","2019","Gross National Income (GNI)","3017.81476852052"
"Venezuela (Bolivarian Republic of)","2019","Gross National Income (GNI)","4615.08689965725"
"Viet Nam","2019","Gross National Income (GNI)","2525.29654123406"
"Yemen","2019","Gross National Income (GNI)","852.189473199926"
"Zambia","2019","Gross National Income (GNI)","1273.01629058551"
"Zimbabwe","2019","Gross National Income (GNI)","1354.4016865149"

